Timestamp,What is your age?,Which sports team would you be most likely to attend - based on transportation/location,What price would you expect/be willing to pay for a Charlotte Crown game?,"Would you be more likely to attend weekend games, or weekday games?",Would you be more or less likely to go to a Charlotte Crown game knowing that there are notable players?,What promotions/events would make you more likely to attend?,Where would you be most likely to hear about Charlotte Crown games/promotional nights?,"Overall, when going to sporting events, what is the most important factor that influences your decision to go?"
4/6/2026 15:46:04,18-25,Charlotte FC - Play @ Bank of America Stadium,$20 - $30,2,5,Thirsty Thursday (or some other reduced alcohol price night),Online - Social Media,Price
4/6/2026 15:52:05,18-25,Charlotte FC - Play @ Bank of America Stadium,$20 - $30,1,5,"Halftime/Pre-game events (singers, dancers, etc)",Family/Friend reccomendation,Game (or Team) Quality
4/6/2026 15:56:59,18-25,Charlotte Crown - Play @ Bojangles Collesium,$10 - $20,2,3,"Themed Giveaways (hats, mini basketballs, etc.)",Online - Social Media,Price
4/6/2026 16:18:43,18-25,Charlotte FC - Play @ Bank of America Stadium,$20 - $30,2,4,Thirsty Thursday (or some other reduced alcohol price night),Online - Social Media,Price
4/6/2026 17:29:50,18-25,Charlotte FC - Play @ Bank of America Stadium,<$10,2,3,"Themed Giveaways (hats, mini basketballs, etc.)",Family/Friend reccomendation,"Other Social Factors (i.e. - reduced group prices, online hype, etc.)"
4/6/2026 18:36:58,18-25,Charlotte FC - Play @ Bank of America Stadium,$10 - $20,3,4,"Themed Giveaways (hats, mini basketballs, etc.)",Online - Social Media,Price
4/6/2026 19:52:38,18-25,Charlotte Knights - Play @ Truist Field,<$10,1,5,Thirsty Thursday (or some other reduced alcohol price night),Online - Social Media,"Other Social Factors (i.e. - reduced group prices, online hype, etc.)"
4/6/2026 20:13:57,18-25,Charlotte FC - Play @ Bank of America Stadium,$20 - $30,4,4,"Themed Giveaways (hats, mini basketballs, etc.)",Online - Social Media,Promotional Nights
4/6/2026 22:01:40,18-25,Charlotte FC - Play @ Bank of America Stadium,$10 - $20,2,4,"Themed Giveaways (hats, mini basketballs, etc.)",Online - Social Media,Game (or Team) Quality
4/7/2026 1:20:03,26-35,Charlotte FC - Play @ Bank of America Stadium,$20 - $30,3,4,Thirsty Thursday (or some other reduced alcohol price night),Online - Social Media,Promotional Nights
4/7/2026 3:14:54,18-25,Charlotte FC - Play @ Bank of America Stadium,$10 - $20,3,5,Thirsty Thursday (or some other reduced alcohol price night),Online - Social Media,Price
4/7/2026 7:19:45,18-25,Charlotte Crown - Play @ Bojangles Collesium,$10 - $20,3,3,"Themed Giveaways (hats, mini basketballs, etc.)",Online - Social Media,Price
4/7/2026 13:38:58,18-25,Charlotte FC - Play @ Bank of America Stadium,$20 - $30,3,3,"Halftime/Pre-game events (singers, dancers, etc)",Family/Friend reccomendation,Game (or Team) Quality
4/7/2026 14:03:23,26-35,Charlotte FC - Play @ Bank of America Stadium,$20 - $30,1,3,"Themed Giveaways (hats, mini basketballs, etc.)",Online - Social Media,Game (or Team) Quality
4/7/2026 14:03:42,18-25,Charlotte FC - Play @ Bank of America Stadium,$10 - $20,1,3,"Halftime/Pre-game events (singers, dancers, etc)",Online - Social Media,"Other Social Factors (i.e. - reduced group prices, online hype, etc.)"
4/7/2026 15:01:08,18-25,Charlotte FC - Play @ Bank of America Stadium,<$10,1,4,Thirsty Thursday (or some other reduced alcohol price night),Online - Social Media,Game (or Team) Quality
4/7/2026 16:06:20,18-25,Charlotte FC - Play @ Bank of America Stadium,$10 - $20,3,5,"Halftime/Pre-game events (singers, dancers, etc)",Online - Social Media,Game (or Team) Quality
4/7/2026 16:51:03,18-25,Charlotte FC - Play @ Bank of America Stadium,$20 - $30,2,4,"Themed Giveaways (hats, mini basketballs, etc.)",Online - Social Media,Game (or Team) Quality
